t,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
2036,48271.24511,58013.19736,22135.71716,17201.16433,18160.50427,20460.07787,12667.37572,4327.501069,3062.529938,19090.4593,40768.05064,29347.76864,23513.40384,16499.96648,16815.87534,29688.0313,19741.8744,9952.184502,38013.04014,34004.46962,12815.7282,13765.30351,41715.63649,41661.6529,4966.908972,4324.73495
2037,48828.04038,58493.04058,22598.15892,17703.71837,18494.65488,20934.4822,13058.33097,4506.53126,3193.126607,19547.27612,41304.40306,29966.18519,24012.21203,16988.93543,17284.75871,30303.00511,20096.47344,10314.08691,38737.74118,34917.56215,13188.23076,14275.45285,42137.836,42130.52956,5150.543632,4457.76954
2038,49391.25813,58976.85273,23070.26165,18220.95517,18834.95381,21419.88647,13461.35234,4692.96799,3329.292361,20015.02413,41847.81183,30597.63301,24521.60183,17492.39474,17766.71613,30930.71782,20457.44171,10689.14959,39476.25832,35855.17316,13571.5605,14804.50859,42564.30854,42604.68314,5340.967561,4594.896451
2039,49960.97244,59464.66661,23552.22718,18753.30371,19181.51419,21916.54572,13876.81223,4887.117672,3471.264685,20493.96491,42398.36979,31242.38671,25041.79772,18010.77384,18262.11215,31571.43331,20824.8936,11077.85108,40228.85495,36817.96102,13966.03212,15353.17141,42995.09737,43084.17304,5538.431772,4736.241567
2040,50537.25824,59956.51534,24044.26154,19301.20549,19534.45123,22424.72093,14305.09452,5089.299392,3619.29119,20984.3663,42956.171,31900.72667,25573.02892,18544.51487,18771.32149,32225.42092,21198.94559,11480.68737,40995.79948,37806.60179,14371.96947,15922.16797,43430.24616,43569.0593,5743.196553,4881.934648
2041,51071.83368,60392.22434,24548.6978,19862.93224,19878.96491,22926.72922,14718.58823,5301.694872,3777.91369,21444.87401,43525.51058,32483.27581,26086.76961,19023.15612,19191.02729,32735.30081,21541.53394,11863.75232,41719.55495,38694.16872,14771.86411,16456.07466,43899.11968,44069.71671,5952.251976,5053.908306
2042,51612.06378,60831.09967,25063.71688,20441.00703,20229.5545,23439.97565,15144.03411,5522.954409,3943.48813,21915.48769,44102.39617,33076.46306,26610.83091,19514.1513,19620.11724,33253.24817,21889.65874,12259.59863,42456.08786,39602.57262,15182.88566,17007.88447,44373.05517,44576.12724,6168.917129,5231.940001
2043,52158.00834,61273.16435,25589.5408,21035.90564,20586.32717,23964.71181,15581.77766,5753.447933,4116.319193,22396.42912,44686.92778,33680.48269,27145.42017,20017.81925,20058.80117,33779.39064,22243.40945,12668.65276,43205.62381,40532.30267,15605.34373,17578.19772,44852.10728,45088.35699,6393.469008,5416.243136
2044,52709.72783,61718.44154,26126.39623,21648.11771,20949.39196,24501.19492,16032.17434,5993.560813,4296.724915,22887.92494,45279.20675,34295.53251,27690.74887,20534.48707,20507.29358,34313.85788,22602.877,13091.3554,43968.39236,41483.85954,16039.55654,18167.63488,45336.33123,45606.47284,6626.194696,5607.038632
2045,53267.28332,62166.9546,26674.51461,22278.1471,21318.85983,25049.68794,16495.58989,6243.694501,4485.03727,23390.20677,45879.33577,34921.81394,28247.03277,21064.49029,20965.81378,34856.78162,22968.15377,13528.16196,44744.6271,42457.75563,16485.85116,18776.83721,45825.78288,46130.54242,6867.391724,5804.555194
2046,53758.48976,62542.78943,27246.36967,22919.68855,21679.68935,25597.85409,16945.50571,6504.352953,4683.415387,23861.74967,46476.03867,35499.42626,28786.97278,21547.10467,21335.02737,35291.67602,23307.56062,13946.62648,45477.33706,43294.41352,16923.39742,19351.86707,46317.95409,46619.28012,7112.497307,6026.516508
2047,54254.22588,62920.8964,27830.48431,23579.7044,22046.62604,26158.01584,17407.69295,6775.893237,4890.567985,24342.7988,47080.50223,36086.59237,29337.23371,22040.77637,21710.74292,35731.99642,23651.98298,14378.03531,46222.04542,44147.5583,17372.55647,19944.5069,46815.41125,47113.19582,7366.351008,6256.965437
2048,54754.53345,63301.28923,28427.12135,24258.72666,22419.77327,26730.4357,17882.48631,7058.76964,5106.88317,24833.54581,47692.8274,36683.4703,29898.01284,22545.75871,22093.07492,36177.81053,24001.49497,14822.78883,46978.94866,45017.51485,17833.63652,20555.29597,47318.21113,47612.3444,7629.265056,6496.226539
2049,55259.45462,63683.98176,29036.54925,24957.30265,22799.23616,27315.38191,18370.22961,7353.455418,5332.766212,25334.1862,48313.11642,37290.22069,30469.51122,23062.31084,22482.13988,36629.18689,24356.17179,15281.29985,47748.24647,45904.61447,18306.95397,21184.79011,47826.4111,48116.78129,7901.562828,6744.636784
2050,55769.03194,64068.98789,29659.04222,25675.99546,23185.12159,27913.12858,18871.27607,7660.443581,5568.640309,25844.91942,48941.47287,37907.00683,31051.93376,23590.69785,22878.05639,37086.19489,24716.08977,15753.99392,48530.14182,46809.19497,18792.8336,21833.56215,48340.06916,48626.56252,8183.579239,7002.546029
